mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	TextLine	crescendo_hairpin	decrescendo_hairpin
37	37	325/3	325/3	0.16666666666666666		1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	280							12			
37	37	217/2	217/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	281							12			
37	37	109	109	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	282										
37	37	221/2	221/2	0.0		5/8	5/8	StaffText	3/4	1	1	0							grazioso							
37	37	221/2	221/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	283							13			
37	37	108	108	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	284										
37	37	109	109	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	285										
37	37	110	110	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	286										
38	38	111	111	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	287							13			
38	38	113	113	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	288										
38	38	227/2	227/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	289							14			
38	38	111	111	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	290										
38	38	112	112	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	291										
38	38	113	113	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	292										
39	39	114	114	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	293							14			
39	39	231/2	231/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	294							14			
39	39	116	116	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	295							14			
39	39	233/2	233/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	296							14			
39	39	114	114	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	297										
39	39	115	115	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	298										
39	39	116	116	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	299										
40	40	117	117	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	300										
40	40	117	117	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	301										
40	40	118	118	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	302										
40	40	119	119	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	303										
41	41	120	120	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	304							15			
41	41	243/2	243/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	305							15			
41	41	122	122	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	306							15			
41	41	245/2	245/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	307							15			
41	41	120	120	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	308										
41	41	121	121	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	309										
41	41	122	122	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	310										
42	42	123	123	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	311										
42	42	125	125	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	312							16			
42	42	125	125	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	313										
42	42	251/2	251/2	0.25		5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	314										
42	42	503/4	503/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	315										
42	42	123	123	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	316										
42	42	124	124	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	317										
42	42	125	125	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	318										
43	43	126	126	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	319							16			
43	43	255/2	255/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	320							16			
43	43	128	128	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	321							16			
43	43	257/2	257/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	322							16			
43	43	126	126	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	323										
43	43	127	127	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	324										
43	43	128	128	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	325										
44	44	129	129	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	326										
44	44	129	129	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	327										
44	44	130	130	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	328										
44	44	131	131	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	329										
45	45	132	132	0.16666666666666666		0	0	Chord	3/4	1	1	1/24		1/16	2/3	330							17			
45	45	793/6	793/6	0.16666666666666666		1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	331							17			
45	45	397/3	397/3	0.16666666666666666		1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	332							17			
45	45	265/2	265/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	333							17			
45	45	133	133	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	334										
45	45	269/2	269/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	335							18			
45	45	132	132	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	336										
45	45	133	133	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	337										
45	45	134	134	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	338										
46	46	135	135	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	339							18			
46	46	137	137	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	340										
46	46	275/2	275/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	341							19			
46	46	135	135	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	342										
46	46	136	136	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	343										
46	46	137	137	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	344										
47	47	138	138	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	345							19			
47	47	279/2	279/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	346							19			
47	47	140	140	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	347							19			
47	47	281/2	281/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	348										
47	47	138	138	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	349										
47	47	139	139	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	350										
47	47	140	140	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	351										
48	48	141	141	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	352										
48	48	143	143	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	353										
48	48	287/2	287/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	354							20			
48	48	141	141	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	355										
48	48	142	142	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	356										
48	48	143	143	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	357										
49	49	144	144	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	358							20			
49	49	291/2	291/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	359							20			
49	49	146	146	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	360							20			
49	49	293/2	293/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	361							20			
49	49	144	144	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	362										
49	49	145	145	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	363										
49	49	146	146	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	364										
50	50	147	147	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	365										
50	50	149	149	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	366							21			
50	50	147	147	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	367										
50	50	148	148	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	368										
50	50	149	149	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	369										
51	51	150	150	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	370							21			
51	51	301/2	301/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	371							21			
51	51	151	151	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	372							21			
51	51	151	151	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	373										
51	51	303/2	303/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	374										
51	51	152	152	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	375										
51	51	305/2	305/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	376										
51	51	150	150	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	377										
51	51	151	151	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	378										
51	51	152	152	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	379										
52	52	153	153	0.0		0	0	Spanner	3/4	1	1	0											21		1	
52	52	153	153	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	380							21		1	
52	52	155	155	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	381									1	
52	52	153	153	1.0		0	0	Chord	3/4	1	2	1/4		1/4	1	382									1	
52	52	154	154	1.0		1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	383									1	
52	52	155	155	1.0		1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	384									1	
52	52	153	153	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	385										
52	52	154	154	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	386										
52	52	155	155	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	387										
53	53	156	156	0.0		0	0	StaffText	3/4	1	1	0							sub. <b>p</b>							
53	53	156	156	0.0		0	0	Spanner	3/4	1	1	0														
53	53	156	156	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	388							22			
53	53	315/2	315/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	389							22			
53	53	158	158	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	390							22			
53	53	317/2	317/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	391							22			
53	53	156	156	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	392										
53	53	157	157	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	393										
53	53	158	158	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	394										
54	54	159	159	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	395							22			
54	54	161	161	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	396							22			
54	54	159	159	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	397										
54	54	160	160	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	398										
54	54	161	161	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	399										
55	55	162	162	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	400							22			
55	55	325/2	325/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	401							22			
55	55	163	163	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	402							22			
55	55	162	162	0.5		0	0	Chord	3/4	1	2	1/8		1/8	1	403										
55	55	325/2	325/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	404										
55	55	163	163	1.5		1/4	1/4	Chord	3/4	1	2	3/8		1/4	3/2	405										
55	55	329/2	329/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	406										
55	55	162	162	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	407										
55	55	163	163	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	408										
55	55	164	164	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	409										
56	56	165	165	3.0		0	0	Chord	3/4	1	1	3/4		1/2	3/2	410							22			
56	56	165	165	2.0		0	0	Chord	3/4	1	2	1/2		1/2	1	411										
56	56	167	167	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	412										
56	56	335/2	335/2	0.25		5/8	5/8	Chord	3/4	1	2	1/16		1/16	1	413										
56	56	671/4	671/4	0.25		11/16	11/16	Chord	3/4	1	2	1/16		1/16	1	414										
56	56	165	165	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	415										
56	56	166	166	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	416										
56	56	167	167	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	417										
57	57	168	168	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	418										
57	57	339/2	339/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	419							23			
57	57	170	170	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	420							23			
57	57	341/2	341/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	421							23			
57	57	168	168	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	422										
57	57	169	169	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	423										
57	57	170	170	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	424										
58	58	171	171	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	425							23			
58	58	173	173	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	426							23			
58	58	171	171	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	427										
58	58	172	172	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	428										
58	58	173	173	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	429										
59	59	174	174	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	430							23			
59	59	349/2	349/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	431							23			
59	59	175	175	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	432							23			
59	59	174	174	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	433										
59	59	175	175	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	434										
59	59	176	176	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	435										
60	60	177	177	1.0		0	0	Chord	3/4	1	1	1/4		1/4	1	436							23			
60	60	178	178	0.0		1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	437							23			
60	60	178	178	0.0		1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	438							23			
60	60	178	178	1.0		1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	439							23			
60	60	179	179	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	440										
60	60	177	177	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	441										
60	60	178	178	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	442										
60	60	179	179	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	443										
61	61	180	180	0.16666666666666666		0	0	Chord	3/4	1	1	1/24		1/16	2/3	444							24			
61	61	1081/6	1081/6	0.16666666666666666		1/24	1/24	Chord	3/4	1	1	1/24		1/16	2/3	445							24			
61	61	541/3	541/3	0.16666666666666666		1/12	1/12	Chord	3/4	1	1	1/24		1/16	2/3	446							24			
61	61	361/2	361/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	447							24			
61	61	181	181	1.5		1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	448										
61	61	365/2	365/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	449							25			
61	61	180	180	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	450										
61	61	181	181	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	451										
61	61	182	182	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	452										
62	62	183	183	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	453							25			
62	62	185	185	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	454										
62	62	371/2	371/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	455							26			
62	62	183	183	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	456										
62	62	184	184	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	457										
62	62	185	185	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	458										
63	63	186	186	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	459							26			
63	63	375/2	375/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	460							26			
63	63	188	188	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	461							26			
63	63	377/2	377/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	462							26			
63	63	186	186	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	463										
63	63	187	187	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	464										
63	63	188	188	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	465										
64	64	189	189	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	466							26			
64	64	191	191	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	467										
64	64	383/2	383/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	468							27			
64	64	189	189	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	469										
64	64	190	190	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	470										
64	64	191	191	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	471										
65	65	192	192	1.5		0	0	Chord	3/4	1	1	3/8		1/4	3/2	472							27			
65	65	387/2	387/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	473							27			
65	65	194	194	0.5		1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	474							27			
65	65	389/2	389/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	475							27			
65	65	192	192	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	476										
65	65	193	193	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	477										
65	65	194	194	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	478										
66	66	195	195	2.0		0	0	Chord	3/4	1	1	1/2		1/2	1	479							27			
66	66	197	197	1.0		1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	480							27			
66	66	195	195	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	481										
66	66	196	196	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	482										
66	66	197	197	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	483										
67	67	198	198	0.5		0	0	Chord	3/4	1	1	1/8		1/8	1	484							27			
67	67	397/2	397/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	485							27			
67	67	199	199	2.0		1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	486							27			
67	67	199	199	0.5		1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	487										
67	67	399/2	399/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	488										
67	67	200	200	0.5		1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	489										
67	67	401/2	401/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	490										
67	67	198	198	1.0		0	0	Chord	3/4	2	1	1/4		1/4	1	491										
67	67	199	199	1.0		1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	492										
67	67	200	200	1.0		1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	493										
68	68		201	2.0	1	0	0	Chord	3/4	1	1	1/2		1/2	1	494							27			
68	68		203	1.0	1	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	495										
68	68		201	2.0	1	0	0	Chord	3/4	1	2	1/2		1/2	1	496										
68	68		203	1.0	1	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	497										
68	68		201	1.0	1	0	0	Chord	3/4	2	1	1/4		1/4	1	498										
68	68		202	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	499										
68	68		203	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	500										
69	68	201	204	3.0	2	0	0	Chord	3/4	1	1	3/4		1/2	3/2	501							28			
69	68	201	204	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	502										
69	68	202	205	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	503		articTenutoAbove								
69	68	203	206	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	504										
69	68	202	205	1.0	2	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	505										
70	69	204	207	3.0	2	0	0	Chord	3/4	1	1	3/4		1/2	3/2	506										
70	69	204	207	0.0	2	0	0	Spanner	3/4	2	1	0														2
70	69	204	207	1.0	2	0	0	Chord	3/4	2	1	1/4		1/4	1	507		articTenutoAbove								2
70	69	206	209	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	508		articTenutoAbove								2
70	69	204	207	1.0	2	0	0	Chord	3/4	2	2	1/4		1/4	1	509										2
70	69	205	208	1.0	2	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	510										2
70	69	206	209	1.0	2	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	511										2
71	70	208	211	2.0	2	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	512										
71	70	208	211	0.0	2	1/4	1/4	Dynamic	3/4	1	2	0					pp									
71	70	208	211	2.0	2	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	513										
71	70	207	210	0.0	2	0	0	Spanner	3/4	2	1	0														
71	70	207	210	3.0	2	0	0	Chord	3/4	2	1	3/4		1/2	3/2	514										
71	70	207	210	3.0	2	0	0	Chord	3/4	2	2	3/4		1/2	3/2	515										
71	70	207	210	3.0	2	0	0	Chord	3/4	2	3	3/4		1/2	3/2	516										
